State,Abbr,SY2010_11,SY2011_12,SY2012_13
Alabama,AL,72,75,80
Alaska,AK,68,70,72
Arizona,AZ,78,76,75
Arkansas,AR,81,84,85
California,CA,76,79,80
Colorado,CO,74,75,77
Connecticut,CT,83,85,86
Delaware,DE,78,80,80
District of Columbia,DC,59,59,62
Florida,FL,71,75,76
Georgia,GA,67,70,72
Hawaii,HI,80,81,82
Idaho3,ID,,,
Illinois,IL,84,82,83
Indiana,IN,86,86,87
Iowa,IA,88,89,90
Kansas,KS,83,85,86
Kentucky3,KY,,,86
Louisiana,LA,71,72,74
Maine,ME,84,85,86
Maryland,MD,83,84,85
Massachusetts,MA,83,85,85
Michigan,MI,74,76,77
Minnesota,MN,77,78,80
Mississippi,MS,75,75,76
Missouri,MO,81,84,86
Montana,MT,82,84,84
Nebraska,NE,86,88,88
Nevada,NV,62,63,71
New Hampshire,NH,86,86,87
New Jersey,NJ,83,86,88
New Mexico,NM,63,70,70
New York,NY,77,77,77
North Carolina,NC,78,80,83
North Dakota,ND,86,87,88
Ohio,OH,80,81,82
Oklahoma3,OK,,,85
Oregon,OR,68,68,69
Pennsylvania,PA,83,84,86
Rhode Island,RI,77,77,80
South Carolina,SC,74,75,78
South Dakota,SD,83,83,83
Tennessee,TN,86,87,86
Texas,TX,86,88,88
Utah,UT,76,80,83
Vermont,VT,87,88,87
Virginia,VA,82,83,84
Washington,WA,76,77,76
West Virginia,WV,78,79,81
Wisconsin,WI,87,88,88
Wyoming,WY,80,79,77
